Year,Team,Record,Winning Percentage
1964,76ers,34-46,0.425
1965,76ers,40-40,0.5
1966,76ers,55-25,0.688
1967,76ers,68-13,0.84
1968,76ers,62-20,0.756
1969,76ers,55-27,0.671
1970,76ers,42-40,0.512
1971,76ers,47-35,0.573
1972,76ers,30-52,0.366
1973,76ers,Sep-73,0.11
1974,76ers,25-57,0.305
1975,76ers,34-48,0.415
1976,76ers,46-36,0.561
1977,76ers,50-32,0.61
1978,76ers,55-27,0.671
1979,76ers,47-35,0.573
1980,76ers,59-23,0.72
1981,76ers,62-20,0.756
1982,76ers,58-24,0.707
1983,76ers,65-17,0.793
1984,76ers,52-30,0.634
1985,76ers,58-24,0.707
1986,76ers,54-28,0.659
1987,76ers,45-37,0.549
1988,76ers,36-46,0.439
1989,76ers,46-36,0.561
1990,76ers,53-29,0.646
1991,76ers,44-38,0.537
1992,76ers,35-47,0.427
1993,76ers,26-56,0.317
1994,76ers,25-57,0.305
1995,76ers,24-58,0.293
1996,76ers,18-64,0.22
1997,76ers,22-60,0.268
1998,76ers,31-51,0.378
1999,76ers,28-22,0.56
2000,76ers,49-33,0.598
2001,76ers,56-26,0.683
2002,76ers,43-39,0.524
2003,76ers,48-34,0.585
2004,76ers,33-49,0.402
2005,76ers,43-39,0.524
2006,76ers,38-44,0.463
2007,76ers,35-47,0.427
2008,76ers,40-42,0.488
2009,76ers,41-41,0.5
2010,76ers,27-55,0.329
2011,76ers,41-41,0.5
2012,76ers,35-31,0.53
2013,76ers,34-48,0.415
2014,76ers,19-63,0.232
2015,76ers,18-64,0.22
2016,76ers,Sep-73,0.122
2017,76ers,15-27,0.357
1950,Blackhawks,29-35,0.453
1951,Blackhawks,25-43,0.368
2005,Bobcats,18-64,0.22
2006,Bobcats,26-56,0.317
2007,Bobcats,33-49,0.402
2008,Bobcats,32-50,0.39
2009,Bobcats,35-47,0.427
2010,Bobcats,44-38,0.537
2011,Bobcats,34-48,0.415
2012,Bobcats,Aug-74,0.106
2013,Bobcats,21-61,0.256
2014,Bobcats,43-39,0.524
1971,Braves,22-60,0.268
1972,Braves,22-60,0.268
1973,Braves,21-61,0.256
1974,Braves,42-40,0.512
1975,Braves,49-33,0.598
1976,Braves,46-36,0.561
1977,Braves,30-52,0.366
1978,Braves,27-55,0.329
1969,Bucks,27-55,0.329
1970,Bucks,56-26,0.683
1971,Bucks,66-16,0.805
1972,Bucks,63-19,0.768
1973,Bucks,60-22,0.732
1974,Bucks,59-23,0.72
1975,Bucks,38-44,0.463
1976,Bucks,38-44,0.463
1977,Bucks,30-52,0.366
1978,Bucks,44-38,0.537
1979,Bucks,38-44,0.463
1980,Bucks,49-33,0.598
1981,Bucks,60-22,0.732
1982,Bucks,55-27,0.671
1983,Bucks,51-31,0.622
1984,Bucks,50-32,0.61
1985,Bucks,59-23,0.72
1986,Bucks,57-25,0.695
1987,Bucks,50-32,0.61
1988,Bucks,42-40,0.512
1989,Bucks,49-33,0.598
1990,Bucks,44-38,0.537
1991,Bucks,48-34,0.585
1992,Bucks,31-51,0.378
1993,Bucks,28-54,0.341
1994,Bucks,20-62,0.244
1995,Bucks,34-48,0.415
1996,Bucks,25-57,0.305
1997,Bucks,33-49,0.402
1998,Bucks,36-46,0.439
1999,Bucks,28-22,0.56
2000,Bucks,42-40,0.512
2001,Bucks,52-30,0.634
2002,Bucks,41-41,0.5
2003,Bucks,42-40,0.512
2004,Bucks,41-41,0.5
2005,Bucks,30-52,0.366
2006,Bucks,40-42,0.488
2007,Bucks,28-54,0.341
2008,Bucks,26-56,0.317
2009,Bucks,34-48,0.415
2010,Bucks,46-36,0.561
2011,Bucks,35-47,0.427
2012,Bucks,31-35,0.47
2013,Bucks,38-44,0.463
2014,Bucks,15-67,0.183
2015,Bucks,41-41,0.5
2016,Bucks,33-49,0.402
2017,Bucks,20-23,0.465
1964,Bullets,31-49,0.388
1965,Bullets,37-43,0.463
1966,Bullets,38-42,0.475
1967,Bullets,20-61,0.247
1968,Bullets,36-46,0.439
1969,Bullets,57-25,0.695
1970,Bullets,50-32,0.61
1971,Bullets,42-40,0.512
1972,Bullets,38-44,0.463
1973,Bullets,52-30,0.634
1974,Bullets,47-35,0.573
1975,Bullets,60-22,0.732
1976,Bullets,48-34,0.585
1977,Bullets,48-34,0.585
1978,Bullets,44-38,0.537
1979,Bullets,54-28,0.659
1980,Bullets,39-43,0.476
1981,Bullets,39-43,0.476
1982,Bullets,43-39,0.524
1983,Bullets,42-40,0.512
1984,Bullets,35-47,0.427
1985,Bullets,40-42,0.488
1986,Bullets,39-43,0.476
1987,Bullets,42-40,0.512
1988,Bullets,38-44,0.463
1989,Bullets,40-42,0.488
1990,Bullets,31-51,0.378
1991,Bullets,30-52,0.366
1992,Bullets,25-57,0.305
1993,Bullets,22-60,0.268
1994,Bullets,24-58,0.293
1995,Bullets,21-61,0.256
1996,Bullets,39-43,0.476
1997,Bullets,44-38,0.537
1967,Bulls,33-48,0.407
1968,Bulls,29-53,0.354
1969,Bulls,33-49,0.402
1970,Bulls,39-43,0.476
1971,Bulls,51-31,0.622
1972,Bulls,57-25,0.695
1973,Bulls,51-31,0.622
1974,Bulls,54-28,0.659
1975,Bulls,47-35,0.573
1976,Bulls,24-58,0.293
1977,Bulls,44-38,0.537
1978,Bulls,40-42,0.488
1979,Bulls,31-51,0.378
1980,Bulls,30-52,0.366
1981,Bulls,45-37,0.549
1982,Bulls,34-48,0.415
1983,Bulls,28-54,0.341
1984,Bulls,27-55,0.329
1985,Bulls,38-44,0.463
1986,Bulls,30-52,0.366
1987,Bulls,40-42,0.488
1988,Bulls,50-32,0.61
1989,Bulls,47-35,0.573
1990,Bulls,55-27,0.671
1991,Bulls,61-21,0.744
1992,Bulls,67-15,0.817
1993,Bulls,57-25,0.695
1994,Bulls,55-27,0.671
1995,Bulls,47-35,0.573
1996,Bulls,72-10,0.878
1997,Bulls,69-13,0.841
1998,Bulls,62-20,0.756
1999,Bulls,13-37,0.26
2000,Bulls,17-65,0.207
2001,Bulls,15-67,0.183
2002,Bulls,21-61,0.256
2003,Bulls,30-52,0.366
2004,Bulls,23-59,0.28
2005,Bulls,47-35,0.573
2006,Bulls,41-41,0.5
2007,Bulls,49-33,0.598
2008,Bulls,33-49,0.402
2009,Bulls,41-41,0.5
2010,Bulls,41-41,0.5
2011,Bulls,62-20,0.756
2012,Bulls,50-16,0.758
2013,Bulls,45-37,0.549
2014,Bulls,48-34,0.585
2015,Bulls,50-32,0.61
2016,Bulls,42-40,0.512
2017,Bulls,21-23,0.477
1971,Cavaliers,15-67,0.183
1972,Cavaliers,23-59,0.28
1973,Cavaliers,32-50,0.39
1974,Cavaliers,29-53,0.354
1975,Cavaliers,40-42,0.488
1976,Cavaliers,49-33,0.598
1977,Cavaliers,43-39,0.524
1978,Cavaliers,43-39,0.524
1979,Cavaliers,30-52,0.366
1980,Cavaliers,37-45,0.451
1981,Cavaliers,28-54,0.341
1982,Cavaliers,15-67,0.183
1983,Cavaliers,23-59,0.28
1984,Cavaliers,28-54,0.341
1985,Cavaliers,36-46,0.439
1986,Cavaliers,29-53,0.354
1987,Cavaliers,31-51,0.378
1988,Cavaliers,42-40,0.512
1989,Cavaliers,57-25,0.695
1990,Cavaliers,42-40,0.512
1991,Cavaliers,33-49,0.402
1992,Cavaliers,57-25,0.695
1993,Cavaliers,54-28,0.659
1994,Cavaliers,47-35,0.573
1995,Cavaliers,43-39,0.524
1996,Cavaliers,47-35,0.573
1997,Cavaliers,42-40,0.512
1998,Cavaliers,47-35,0.573
1999,Cavaliers,22-28,0.44
2000,Cavaliers,32-50,0.39
2001,Cavaliers,30-52,0.366
2002,Cavaliers,29-53,0.354
2003,Cavaliers,17-65,0.207
2004,Cavaliers,35-47,0.427
2005,Cavaliers,42-40,0.512
2006,Cavaliers,50-32,0.61
2007,Cavaliers,50-32,0.61
2008,Cavaliers,45-37,0.549
2009,Cavaliers,66-16,0.805
2010,Cavaliers,61-21,0.744
2011,Cavaliers,19-63,0.232
2012,Cavaliers,21-45,0.318
2013,Cavaliers,24-58,0.293
2014,Cavaliers,33-49,0.402
2015,Cavaliers,53-29,0.646
2016,Cavaliers,57-25,0.695
2017,Cavaliers,30-12,0.714
1947,Celtics,22-38,0.367
1948,Celtics,20-28,0.417
1949,Celtics,25-35,0.417
1950,Celtics,22-46,0.324
1951,Celtics,39-30,0.565
1952,Celtics,39-27,0.591
1953,Celtics,46-25,0.648
1954,Celtics,42-30,0.583
