Team,TM,,TM,2,,,BOSTON CELTICS,(1946-present),,,
Hawks,ATL,,AND,,,,NEW YORK KNICKERBOCKERS,(1946-present),,,
Bullets,BAL,,BLB,Braves,,,CHICAGO BULLS,(1966-present),,,
Celtics,BOS,,CAP,,,,MILWAUKEE BUCKS,(1968-present),,,
Nets,BRK,,CHO,Hornets,,,PHOENIX SUNS,(1968-present),,,
Braves,BUF,,DNN,,,,CLEVELAND CAVALIERS,(1970-present),,,
Bobcats,CHA,,INO,,,,PORTLAND TRAILBLAZERS,(1970-present),,,
Hornets,CHH,,SHE,,,,DENVER NUGGETS,(1976-present),,,
Bulls,CHI,,WAT,,,,INDIANA PACERS,(1976-present),,,
Packers,CHP,,,,,,SAN ANTONIO SPURS,(1976-present),,,
Stags,CHS,,,,,,DALLAS MAVERICKS,(1980-present),,,
Zephers,CHZ,,,,,,MIAMI HEAT,(1988-present),,,
Royals,CIN,,,,,,MINNESOTA TIMBERWOLVES,(1989-present),,,
Cavaliers,CLE,,,,,,ORLANDO MAGIC,(1989-present),,,
Mavericks,DAL,,,,,,TORONTO RAPTORS,(1995-present),,,
Nuggets,DEN,,,,,,ATLANTA HAWKS,Atlanta Hawks (1968-present),,,
Pistons,DET,,,,,,WASHINGTON WIZARDS,Baltimore Bullets (1963-73),,,
Pistons,FTW,,,,,,BROOKLYN NETS,Brooklyn Nets (2012-present),,,
Warriors,GSW,,,,,,LOS ANGELES CLIPPERS,Buffalo Braves (1970-78),,,
Rockets,HOU,,,,,,WASHINGTON WIZARDS,Capital Bullets (1973-74),,,
Pacers,IND,,,,,,CHARLOTTE HORNETS,Charlotte Bobcats (2004-14),,,
Kings,KCK,,,,,,CHARLOTTE HORNETS,Charlotte Hornets (1988-2002),,,
Kings,KCO,,,,,,CHARLOTTE HORNETS,Charlotte Hornets (2014-present),,,
Clippers,LAC,,,,,,WASHINGTON WIZARDS,Chicago Packers (1961-62),,,
Lakers,LAL,,,,,,WASHINGTON WIZARDS,Chicago Zephyrs (1962-63),,,
Grizzlies,MEM,,,,,,SACRAMENTO KINGS,Cincinnati Royals (1957-72),,,
Heat,MIA,,,,,,DETROIT PISTONS,Detroit Pistons (1957-present),,,
Bucks,MIL,,,,,,DETROIT PISTONS,Fort Wayne Pistons (1948-57),,,
Timberwolves,MIN,,,,,,GOLDEN STATE WARRIORS,Golden State Warriors (1971-present),,,
Kings,MLH,,,,,,HOUSTON ROCKETS,Houston Rockets (1971-present),,,
Lakers,MNL,,,,,,SACRAMENTO KINGS,Kansas City Kings (1975-85),,,
Nets,NJN,,,,,,SACRAMENTO KINGS,Kansas City-Omaha Kings (1972-75),,,
Hornets,NOH,,,,,,LOS ANGELES CLIPPERS,Los Angeles Clippers (1984-present),,,
Jazz,NOJ,,,,,,LOS ANGELES LAKERS,Los Angeles Lakers (1960-present),,,
Hornets,NOK,,,,,,MEMPHIS GRIZZLIES,Memphis Grizzlies (2001-present),,,
Pelicans,NOP,,,,,,ATLANTA HAWKS,Milwaukee Hawks (1951-55),,,
Knicks,NYK,,,,,,LOS ANGELES LAKERS,Minneapolis Lakers (1948-60),,,
Nets,NYN,,,,,,BROOKLYN NETS,New Jersey Nets (1977-2012),,,
Thunder,OKC,,,,,,NEW ORLEANS PELICANS,New Orleans Hornets (2002-05),,,
Magic,ORL,,,,,,NEW ORLEANS PELICANS,New Orleans Hornets (2007-13),,,
76ers,PHI,,,,,,UTAH JAZZ,New Orleans Jazz (1974-79),,,
Suns,PHO,,,,,,NEW ORLEANS PELICANS,New Orleans Pelicans (2013-present),,,Syracuse Nationals (1949-63)
Warriors,PHW,,,,,,NEW ORLEANS PELICANS,New Orleans/Oklahoma City Hornets (2005-07),,,
Trail Blazers,POR,,,,,,BROOKLYN NETS,New York Nets (1976-77),,,
Royals,ROC,,,,,,OKLAHOMA CITY THUNDER,Oklahoma City Thunder (2008-present),,,
Kings,SAC,,,,,,PHILADELPHIA 76ERS,Philadelphia 76ers (1963-present),,,
Spurs,SAS,,,,,,GOLDEN STATE WARRIORS,Philadelphia Warriors (1946-62),,,
Clippers,SDC,,,,,,SACRAMENTO KINGS,Rochester Royals (1948-57),,,
Rockets,SDR,,,,,,SACRAMENTO KINGS,Sacramento Kings (1985-present),,,
Supersonics,SEA,,,,,,LOS ANGELES CLIPPERS,San Diego Clippers (1978-84),,,
Warriors,SFW,,,,,,HOUSTON ROCKETS,San Diego Rockets (1967-71),,,
Bommers,STB,,,,,,GOLDEN STATE WARRIORS,San Francisco Warriors (1962-71),,,
Hawks,STL,,,,,,OKLAHOMA CITY THUNDER,Seattle SuperSonics (1967-2008),,,
Nationals,SYR,,,,,,ATLANTA HAWKS,St. Louis Hawks (1955-68),,,
Raptors,TOR,,,,,,ATLANTA HAWKS,Tri-Cities Blackhawks (1949-51),,,
Huskies,TOT,,,,,,UTAH JAZZ,Utah Jazz (1979-present),,,
Blackhawks,TRI,,,,,,MEMPHIS GRIZZLIES,Vancouver Grizzlies (1995-2001),,,
Jazz,UTA,,,,,,WASHINGTON WIZARDS,Washington Bullets (1974-98),,,
Grizzlies,VAN,,,,,,WASHINGTON WIZARDS,Washington Wizards (1998-present),,,
Wizards,WAS,,,,,,PHILADELPHIA 76ERS,,,,
Bullets,WSB,,,,,,,,,,
Capitals,WSC,,,,,,,,,,
